City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,-5.21,94,95,4.61,overcast clouds
1,Khatanga,RU,71.9667,102.5,-20.58,94,66,12.71,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.0,46,20,17.27,few clouds
3,Tiksi,RU,71.6872,128.8694,-3.69,92,73,8.16,broken clouds
4,Severo-Kurilsk,RU,50.6789,156.125,31.8,82,34,13.96,scattered clouds
5,Itaguai,BR,-22.8522,-43.7753,81.0,78,75,5.75,broken clouds
6,Kabo,CF,7.6994,18.629,84.24,34,92,3.04,overcast clouds
7,Lompoc,US,34.6391,-120.4579,55.4,67,90,13.8,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,53.01,54,20,9.22,few clouds
9,Clyde River,CA,70.4692,-68.5914,-5.8,84,75,24.16,snow
10,Mataura,NZ,-46.1927,168.8643,69.01,52,1,10.0,clear sky
11,Rikitea,PF,-23.1203,-134.9692,80.47,73,39,8.34,scattered clouds
12,Iqaluit,CA,63.7506,-68.5145,-16.01,69,40,14.97,snow
13,Ancud,CL,-41.8697,-73.8203,60.8,67,0,5.75,clear sky
14,Tiarei,PF,-17.5333,-149.3333,87.01,70,20,9.22,few clouds
15,Ushuaia,AR,-54.8,-68.3,44.6,61,40,34.52,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,24.8,80,90,18.41,snow
17,Esmeraldas,BR,-19.7625,-44.3139,78.8,65,20,10.36,few clouds
18,Georgetown,MY,5.4112,100.3354,78.01,88,20,5.68,few clouds
19,Ipu,BR,-4.3222,-40.7108,73.8,91,30,4.45,scattered clouds
20,Haapiti,PF,-17.5667,-149.8667,87.01,70,20,9.22,few clouds
21,Rawson,AR,-43.3002,-65.1023,62.53,74,35,20.69,scattered clouds
22,Kununurra,AU,-15.7667,128.7333,80.6,100,75,2.3,broken clouds
23,Butaritari,KI,3.0707,172.7902,80.47,80,77,12.68,light rain
24,Lujan,AR,-34.5703,-59.105,78.01,46,0,1.01,clear sky
25,La Ronge,CA,55.1001,-105.2842,32.0,47,1,8.05,clear sky
26,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,2.3,overcast clouds
27,Haines Junction,CA,60.7522,-137.5108,5.0,47,93,12.66,overcast clouds
28,Vuktyl,RU,63.8567,57.3094,18.81,94,100,9.75,light snow
29,Busselton,AU,-33.65,115.3333,52.0,78,0,1.01,clear sky
30,Hithadhoo,MV,-0.6,73.0833,83.84,68,10,9.22,clear sky
31,Kapaa,US,22.0752,-159.319,73.0,83,90,26.46,light rain
32,Pevek,RU,69.7008,170.3133,-3.57,97,100,7.27,overcast clouds
33,Saint-Augustin,CA,51.226,-58.6502,22.89,75,100,19.44,overcast clouds
34,Semey,KZ,50.4111,80.2275,-11.9,97,62,2.06,broken clouds
35,Cherskiy,RU,68.75,161.3,-5.67,96,100,15.75,light snow
36,Albany,US,42.6001,-73.9662,37.99,30,41,6.11,scattered clouds
37,Bayanday,RU,53.0661,105.5139,15.33,88,100,20.22,snow
38,Jamestown,US,42.097,-79.2353,35.6,32,1,8.48,clear sky
39,Avarua,CK,-21.2078,-159.775,84.2,74,68,8.05,broken clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,82.99,74,40,6.91,scattered clouds
41,Pedernales,DO,18.0384,-71.744,77.07,73,14,2.71,few clouds
42,Cape Town,ZA,-33.9258,18.4232,66.99,88,75,5.75,broken clouds
43,Huarmey,PE,-10.0681,-78.1522,74.61,76,2,8.12,clear sky
44,Bereda,ES,43.2686,-7.5406,48.0,97,80,5.01,broken clouds
45,Codrington,AU,-38.2667,141.9667,57.65,53,42,11.18,scattered clouds
46,Provideniya,RU,64.3833,-173.3,23.74,94,100,24.76,snow
47,Saint-Philippe,RE,-21.3585,55.7679,75.2,73,0,5.75,clear sky
48,Beringovskiy,RU,63.05,179.3167,22.46,89,34,5.53,scattered clouds
49,Hobart,AU,-42.8794,147.3294,53.01,54,20,9.22,few clouds
50,Minab,IR,27.1467,57.0801,71.6,78,0,4.61,dust
51,Gorontalo,ID,0.5412,123.0595,76.68,91,50,2.71,scattered clouds
52,Mehamn,NO,71.0357,27.8492,22.93,87,100,6.85,overcast clouds
53,Souillac,MU,-20.5167,57.5167,80.6,83,40,6.91,light rain
54,Hamilton,US,39.1834,-84.5333,53.01,30,90,4.45,overcast clouds
55,Orodara,BF,10.9492,-4.9342,82.4,54,46,4.61,dust
56,Port Alfred,ZA,-33.5906,26.891,73.0,82,69,4.0,broken clouds
57,Henties Bay,NA,-22.116,14.2845,64.99,92,45,3.0,scattered clouds
58,Buriti Bravo,BR,-5.8372,-43.8336,72.9,94,97,1.7,overcast clouds
59,Porto Walter,BR,-8.2686,-72.7439,76.42,92,93,2.19,light rain
60,Krutinka,RU,56.0055,71.5113,3.67,97,92,8.25,overcast clouds
61,Hermanus,ZA,-34.4187,19.2345,66.0,91,23,1.99,few clouds
62,Vaini,TO,-21.2,-175.2,77.0,88,75,6.91,broken clouds
63,Ossora,RU,59.2353,163.0719,5.63,71,99,3.53,overcast clouds
64,Mount Isa,AU,-20.7333,139.5,77.0,73,29,6.91,scattered clouds
65,Getulio Vargas,UY,-32.6796,-53.5494,67.71,79,17,9.73,few clouds
66,Saldanha,ZA,-33.0117,17.9442,68.0,83,99,3.44,overcast clouds
67,Necochea,AR,-38.5473,-58.7368,71.01,72,0,6.78,clear sky
68,Mar Del Plata,AR,-38.0023,-57.5575,69.01,73,20,10.36,few clouds
69,Meulaboh,ID,4.1363,96.1285,76.32,81,99,2.17,overcast clouds
70,Kiruna,SE,67.8557,20.2251,17.6,93,77,8.05,broken clouds
71,Hilo,US,19.7297,-155.09,71.6,83,90,9.22,moderate rain
72,Atuona,PF,-9.8,-139.0333,79.3,61,54,4.94,broken clouds
73,Buenos Aires,AR,-34.6132,-58.3772,77.0,47,0,9.22,clear sky
74,Camacha,PT,33.0833,-16.3333,60.8,67,75,11.5,broken clouds
75,Nemuro,JP,43.3236,145.575,32.68,92,100,20.83,snow
76,Birjand,IR,32.8663,59.2211,37.4,65,0,4.61,clear sky
77,Ilulissat,GL,69.2167,-51.1,10.4,67,100,17.27,overcast clouds
78,Airai,TL,-8.9266,125.4092,64.06,90,95,1.14,overcast clouds
79,Ribeira Grande,PT,38.5167,-28.7,61.5,85,80,26.98,broken clouds
80,Norman Wells,CA,65.282,-126.8329,-2.2,60,75,4.61,broken clouds
81,Chokurdakh,RU,70.6333,147.9167,-18.53,90,0,4.16,clear sky
82,Nakamura,JP,32.9833,132.9333,49.6,72,0,6.2,clear sky
83,Noyabrsk,RU,63.1994,75.4507,8.28,94,95,13.0,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,36.0,87,75,6.71,snow
85,Ibra,OM,22.6906,58.5334,61.77,58,0,1.21,clear sky
86,Bethel,US,41.3712,-73.414,46.4,21,1,13.8,clear sky
87,Laguna De Duero,ES,41.5815,-4.7233,46.99,75,0,8.05,clear sky
88,Nagorsk,RU,59.3172,50.8078,12.61,91,100,11.52,overcast clouds
89,Lhokseumawe,ID,5.1801,97.1507,76.44,75,21,4.63,few clouds
90,Ravar,IR,31.2656,56.8055,43.61,59,0,2.91,clear sky
91,Lebu,CL,-37.6167,-73.65,58.71,79,0,8.79,clear sky
92,Pacific Grove,US,36.6177,-121.9166,55.0,75,36,7.0,scattered clouds
93,Victoria,HK,22.2855,114.1577,69.01,84,55,12.84,broken clouds
94,Cradock,ZA,-32.1642,25.6192,72.84,41,40,5.23,scattered clouds
95,Dipolog,PH,8.5894,123.3414,77.38,87,63,5.14,broken clouds
96,Kousseri,CM,12.0769,15.0306,87.8,22,31,2.3,scattered clouds
97,East London,ZA,-33.0153,27.9116,77.49,66,41,13.18,scattered clouds
98,Abashiri,JP,44.0213,144.2697,34.0,75,100,3.0,overcast clouds
99,Banjar,ID,-8.19,114.9675,77.0,94,75,5.75,broken clouds
100,Kruisfontein,ZA,-34.0033,24.7314,69.01,76,84,1.99,broken clouds
101,Makakilo City,US,21.3469,-158.0858,78.8,65,75,10.36,broken clouds
102,Carnarvon,AU,-24.8667,113.6333,80.6,74,2,9.22,clear sky
103,Mahebourg,MU,-20.4081,57.7,80.6,83,40,6.91,light rain
104,Zhezkazgan,KZ,47.8043,67.7144,2.1,74,100,17.4,overcast clouds
105,Avera,US,33.194,-82.5271,78.8,47,75,6.91,broken clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,73.0,56,1,11.5,clear sky
107,Rudnya,RU,54.947,31.0934,32.7,96,98,9.19,overcast clouds
108,Barraute,CA,48.4335,-77.6328,19.4,86,90,11.5,light snow
109,Butterworth,MY,5.3991,100.3638,78.01,88,20,5.28,few clouds
